name,from,from_adm2,from_adm1,from_adm0,to,to_adm2,to_adm1,to_adm0,to_adm2_w_space,weight,male_under18,male_18to60,male_over60,female_under18,female_18to60,female_over60,
Ancuabe-Ancuabe,Ancuabe,Ancuabe,adm1,MOZ,Ancuabe_,Ancuabe,adm1,MOZ,Ancuabe_,48,7.2,9.6,7.2,7.2,9.6,7.2,
Ancuabe-Balama,Ancuabe,Ancuabe,adm2,MOZ,Balama_,Balama,adm2,MOZ,Balama_,58,8.7,11.6,8.7,8.7,11.6,8.7,
Ancuabe-Chiure,Ancuabe,Ancuabe,adm3,MOZ,Chiure_,Chiure,adm3,MOZ,Chiure_,90,13.5,18,13.5,13.5,18,13.5,
Ancuabe-Cidade De Pemba,Ancuabe,Ancuabe,adm4,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm4,MOZ,Cidade_De_Pemba_,93,13.95,18.6,13.95,13.95,18.6,13.95,
Ancuabe-Erati,Ancuabe,Ancuabe,adm5,MOZ,Erati_,Erati,adm5,MOZ,Erati_,75,11.25,15,11.25,11.25,15,11.25,
Ancuabe-Ibo,Ancuabe,Ancuabe,adm6,MOZ,Ibo_,Ibo,adm6,MOZ,Ibo_,6,0.9,1.2,0.9,0.9,1.2,0.9,
Ancuabe-Lalaua,Ancuabe,Ancuabe,adm7,MOZ,Lalaua_,Lalaua,adm7,MOZ,Lalaua_,8,1.2,1.6,1.2,1.2,1.6,1.2,
Ancuabe-Macomia,Ancuabe,Ancuabe,adm8,MOZ,Macomia_,Macomia,adm8,MOZ,Macomia_,33,4.95,6.6,4.95,4.95,6.6,4.95,
Ancuabe-Marrupa,Ancuabe,Ancuabe,adm9,MOZ,Marrupa_,Marrupa,adm9,MOZ,Marrupa_,2,0.3,0.4,0.3,0.3,0.4,0.3,
Ancuabe-Mecuburi,Ancuabe,Ancuabe,adm10,MOZ,Mecuburi_,Mecuburi,adm10,MOZ,Mecuburi_,20,3,4,3,3,4,3,
Ancuabe-Mecufi,Ancuabe,Ancuabe,adm11,MOZ,Mecufi_,Mecufi,adm11,MOZ,Mecufi_,22,3.3,4.4,3.3,3.3,4.4,3.3,
Ancuabe-Mecula,Ancuabe,Ancuabe,adm12,MOZ,Mecula_,Mecula,adm12,MOZ,Mecula_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Ancuabe-Meluco,Ancuabe,Ancuabe,adm13,MOZ,Meluco_,Meluco,adm13,MOZ,Meluco_,9,1.35,1.8,1.35,1.35,1.8,1.35,
Ancuabe-Memba,Ancuabe,Ancuabe,adm14,MOZ,Memba_,Memba,adm14,MOZ,Memba_,7,1.05,1.4,1.05,1.05,1.4,1.05,
Ancuabe-Metuge,Ancuabe,Ancuabe,adm15,MOZ,Metuge_,Metuge,adm15,MOZ,Metuge_,35,5.25,7,5.25,5.25,7,5.25,
Ancuabe-Mocimboa Da Praia,Ancuabe,Ancuabe,adm16,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm16,MOZ,Mocimboa_Da_Praia_,42,6.3,8.4,6.3,6.3,8.4,6.3,
Ancuabe-Montepuez,Ancuabe,Ancuabe,adm17,MOZ,Montepuez_,Montepuez,adm17,MOZ,Montepuez_,99,14.85,19.8,14.85,14.85,19.8,14.85,
Ancuabe-Mueda,Ancuabe,Ancuabe,adm18,MOZ,Mueda_,Mueda,adm18,MOZ,Mueda_,55,8.25,11,8.25,8.25,11,8.25,
Ancuabe-Muidumbe,Ancuabe,Ancuabe,adm19,MOZ,Muidumbe_,Muidumbe,adm19,MOZ,Muidumbe_,30,4.5,6,4.5,4.5,6,4.5,
Ancuabe-Namuno,Ancuabe,Ancuabe,adm20,MOZ,Namuno_,Namuno,adm20,MOZ,Namuno_,89,13.35,17.8,13.35,13.35,17.8,13.35,
Ancuabe-Nangade,Ancuabe,Ancuabe,adm21,MOZ,Nangade_,Nangade,adm21,MOZ,Nangade_,32,4.8,6.4,4.8,4.8,6.4,4.8,
Ancuabe-Nipepe,Ancuabe,Ancuabe,adm22,MOZ,Nipepe_,Nipepe,adm22,MOZ,Nipepe_,5,0.75,1,0.75,0.75,1,0.75,
Ancuabe-Palma,Ancuabe,Ancuabe,adm23,MOZ,Palma_,Palma,adm23,MOZ,Palma_,24,3.6,4.8,3.6,3.6,4.8,3.6,
Ancuabe-Quissanga,Ancuabe,Ancuabe,adm24,MOZ,Quissanga_,Quissanga,adm24,MOZ,Quissanga_,15,2.25,3,2.25,2.25,3,2.25,
Balama-Ancuabe,Balama,Balama,adm25,MOZ,Ancuabe_,Ancuabe,adm25,MOZ,Ancuabe_,,,,,,,,
Balama-Balama,Balama,Balama,adm26,MOZ,Balama_,Balama,adm26,MOZ,Balama_,,,,,,,,
Balama-Chiure,Balama,Balama,adm27,MOZ,Chiure_,Chiure,adm27,MOZ,Chiure_,,,,,,,,
Balama-Cidade De Pemba,Balama,Balama,adm28,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm28,MOZ,Cidade_De_Pemba_,,,,,,,,
Balama-Erati,Balama,Balama,adm29,MOZ,Erati_,Erati,adm29,MOZ,Erati_,,,,,,,,
Balama-Ibo,Balama,Balama,adm30,MOZ,Ibo_,Ibo,adm30,MOZ,Ibo_,,,,,,,,
Balama-Lalaua,Balama,Balama,adm31,MOZ,Lalaua_,Lalaua,adm31,MOZ,Lalaua_,,,,,,,,
Balama-Macomia,Balama,Balama,adm32,MOZ,Macomia_,Macomia,adm32,MOZ,Macomia_,,,,,,,,
Balama-Marrupa,Balama,Balama,adm33,MOZ,Marrupa_,Marrupa,adm33,MOZ,Marrupa_,,,,,,,,
Balama-Mecuburi,Balama,Balama,adm34,MOZ,Mecuburi_,Mecuburi,adm34,MOZ,Mecuburi_,,,,,,,,
Balama-Mecufi,Balama,Balama,adm35,MOZ,Mecufi_,Mecufi,adm35,MOZ,Mecufi_,,,,,,,,
Balama-Mecula,Balama,Balama,adm36,MOZ,Mecula_,Mecula,adm36,MOZ,Mecula_,,,,,,,,
Balama-Meluco,Balama,Balama,adm37,MOZ,Meluco_,Meluco,adm37,MOZ,Meluco_,,,,,,,,
Balama-Memba,Balama,Balama,adm38,MOZ,Memba_,Memba,adm38,MOZ,Memba_,,,,,,,,
Balama-Metuge,Balama,Balama,adm39,MOZ,Metuge_,Metuge,adm39,MOZ,Metuge_,,,,,,,,
Balama-Mocimboa Da Praia,Balama,Balama,adm40,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm40,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Balama-Montepuez,Balama,Balama,adm41,MOZ,Montepuez_,Montepuez,adm41,MOZ,Montepuez_,,,,,,,,
Balama-Mueda,Balama,Balama,adm42,MOZ,Mueda_,Mueda,adm42,MOZ,Mueda_,,,,,,,,
Balama-Muidumbe,Balama,Balama,adm43,MOZ,Muidumbe_,Muidumbe,adm43,MOZ,Muidumbe_,,,,,,,,
Balama-Namuno,Balama,Balama,adm44,MOZ,Namuno_,Namuno,adm44,MOZ,Namuno_,,,,,,,,
Balama-Nangade,Balama,Balama,adm45,MOZ,Nangade_,Nangade,adm45,MOZ,Nangade_,,,,,,,,
Balama-Nipepe,Balama,Balama,adm46,MOZ,Nipepe_,Nipepe,adm46,MOZ,Nipepe_,,,,,,,,
Balama-Palma,Balama,Balama,adm47,MOZ,Palma_,Palma,adm47,MOZ,Palma_,,,,,,,,
Balama-Quissanga,Balama,Balama,adm48,MOZ,Quissanga_,Quissanga,adm48,MOZ,Quissanga_,,,,,,,,
Chiure-Ancuabe,Chiure,Chiure,adm49,MOZ,Ancuabe_,Ancuabe,adm49,MOZ,Ancuabe_,,,,,,,,
Chiure-Balama,Chiure,Chiure,adm50,MOZ,Balama_,Balama,adm50,MOZ,Balama_,,,,,,,,
Chiure-Chiure,Chiure,Chiure,adm51,MOZ,Chiure_,Chiure,adm51,MOZ,Chiure_,,,,,,,,
Chiure-Cidade De Pemba,Chiure,Chiure,adm52,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm52,MOZ,Cidade_De_Pemba_,,,,,,,,
Chiure-Erati,Chiure,Chiure,adm53,MOZ,Erati_,Erati,adm53,MOZ,Erati_,,,,,,,,
Chiure-Ibo,Chiure,Chiure,adm54,MOZ,Ibo_,Ibo,adm54,MOZ,Ibo_,,,,,,,,
Chiure-Lalaua,Chiure,Chiure,adm55,MOZ,Lalaua_,Lalaua,adm55,MOZ,Lalaua_,,,,,,,,
Chiure-Macomia,Chiure,Chiure,adm56,MOZ,Macomia_,Macomia,adm56,MOZ,Macomia_,,,,,,,,
Chiure-Marrupa,Chiure,Chiure,adm57,MOZ,Marrupa_,Marrupa,adm57,MOZ,Marrupa_,,,,,,,,
Chiure-Mecuburi,Chiure,Chiure,adm58,MOZ,Mecuburi_,Mecuburi,adm58,MOZ,Mecuburi_,,,,,,,,
Chiure-Mecufi,Chiure,Chiure,adm59,MOZ,Mecufi_,Mecufi,adm59,MOZ,Mecufi_,,,,,,,,
Chiure-Mecula,Chiure,Chiure,adm60,MOZ,Mecula_,Mecula,adm60,MOZ,Mecula_,,,,,,,,
Chiure-Meluco,Chiure,Chiure,adm61,MOZ,Meluco_,Meluco,adm61,MOZ,Meluco_,,,,,,,,
Chiure-Memba,Chiure,Chiure,adm62,MOZ,Memba_,Memba,adm62,MOZ,Memba_,,,,,,,,
Chiure-Metuge,Chiure,Chiure,adm63,MOZ,Metuge_,Metuge,adm63,MOZ,Metuge_,,,,,,,,
Chiure-Mocimboa Da Praia,Chiure,Chiure,adm64,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm64,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Chiure-Montepuez,Chiure,Chiure,adm65,MOZ,Montepuez_,Montepuez,adm65,MOZ,Montepuez_,,,,,,,,
Chiure-Mueda,Chiure,Chiure,adm66,MOZ,Mueda_,Mueda,adm66,MOZ,Mueda_,,,,,,,,
Chiure-Muidumbe,Chiure,Chiure,adm67,MOZ,Muidumbe_,Muidumbe,adm67,MOZ,Muidumbe_,,,,,,,,
Chiure-Namuno,Chiure,Chiure,adm68,MOZ,Namuno_,Namuno,adm68,MOZ,Namuno_,,,,,,,,
Chiure-Nangade,Chiure,Chiure,adm69,MOZ,Nangade_,Nangade,adm69,MOZ,Nangade_,,,,,,,,
Chiure-Nipepe,Chiure,Chiure,adm70,MOZ,Nipepe_,Nipepe,adm70,MOZ,Nipepe_,,,,,,,,
Chiure-Palma,Chiure,Chiure,adm71,MOZ,Palma_,Palma,adm71,MOZ,Palma_,,,,,,,,
Chiure-Quissanga,Chiure,Chiure,adm72,MOZ,Quissanga_,Quissanga,adm72,MOZ,Quissanga_,,,,,,,,
Cidade De Pemba-Ancuabe,Cidade De Pemba,Cidade De Pemba,adm73,MOZ,Ancuabe_,Ancuabe,adm73,MOZ,Ancuabe_,,,,,,,,
Cidade De Pemba-Balama,Cidade De Pemba,Cidade De Pemba,adm74,MOZ,Balama_,Balama,adm74,MOZ,Balama_,,,,,,,,
Cidade De Pemba-Chiure,Cidade De Pemba,Cidade De Pemba,adm75,MOZ,Chiure_,Chiure,adm75,MOZ,Chiure_,,,,,,,,
Cidade De Pemba-Cidade De Pemba,Cidade De Pemba,Cidade De Pemba,adm76,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm76,MOZ,Cidade_De_Pemba_,,,,,,,,
Cidade De Pemba-Erati,Cidade De Pemba,Cidade De Pemba,adm77,MOZ,Erati_,Erati,adm77,MOZ,Erati_,,,,,,,,
Cidade De Pemba-Ibo,Cidade De Pemba,Cidade De Pemba,adm78,MOZ,Ibo_,Ibo,adm78,MOZ,Ibo_,,,,,,,,
Cidade De Pemba-Lalaua,Cidade De Pemba,Cidade De Pemba,adm79,MOZ,Lalaua_,Lalaua,adm79,MOZ,Lalaua_,,,,,,,,
Cidade De Pemba-Macomia,Cidade De Pemba,Cidade De Pemba,adm80,MOZ,Macomia_,Macomia,adm80,MOZ,Macomia_,,,,,,,,
Cidade De Pemba-Marrupa,Cidade De Pemba,Cidade De Pemba,adm81,MOZ,Marrupa_,Marrupa,adm81,MOZ,Marrupa_,,,,,,,,
Cidade De Pemba-Mecuburi,Cidade De Pemba,Cidade De Pemba,adm82,MOZ,Mecuburi_,Mecuburi,adm82,MOZ,Mecuburi_,,,,,,,,
Cidade De Pemba-Mecufi,Cidade De Pemba,Cidade De Pemba,adm83,MOZ,Mecufi_,Mecufi,adm83,MOZ,Mecufi_,,,,,,,,
Cidade De Pemba-Mecula,Cidade De Pemba,Cidade De Pemba,adm84,MOZ,Mecula_,Mecula,adm84,MOZ,Mecula_,,,,,,,,
Cidade De Pemba-Meluco,Cidade De Pemba,Cidade De Pemba,adm85,MOZ,Meluco_,Meluco,adm85,MOZ,Meluco_,,,,,,,,
Cidade De Pemba-Memba,Cidade De Pemba,Cidade De Pemba,adm86,MOZ,Memba_,Memba,adm86,MOZ,Memba_,,,,,,,,
Cidade De Pemba-Metuge,Cidade De Pemba,Cidade De Pemba,adm87,MOZ,Metuge_,Metuge,adm87,MOZ,Metuge_,,,,,,,,
Cidade De Pemba-Mocimboa Da Praia,Cidade De Pemba,Cidade De Pemba,adm88,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm88,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Cidade De Pemba-Montepuez,Cidade De Pemba,Cidade De Pemba,adm89,MOZ,Montepuez_,Montepuez,adm89,MOZ,Montepuez_,,,,,,,,
Cidade De Pemba-Mueda,Cidade De Pemba,Cidade De Pemba,adm90,MOZ,Mueda_,Mueda,adm90,MOZ,Mueda_,,,,,,,,
Cidade De Pemba-Muidumbe,Cidade De Pemba,Cidade De Pemba,adm91,MOZ,Muidumbe_,Muidumbe,adm91,MOZ,Muidumbe_,,,,,,,,
Cidade De Pemba-Namuno,Cidade De Pemba,Cidade De Pemba,adm92,MOZ,Namuno_,Namuno,adm92,MOZ,Namuno_,,,,,,,,
Cidade De Pemba-Nangade,Cidade De Pemba,Cidade De Pemba,adm93,MOZ,Nangade_,Nangade,adm93,MOZ,Nangade_,,,,,,,,
Cidade De Pemba-Nipepe,Cidade De Pemba,Cidade De Pemba,adm94,MOZ,Nipepe_,Nipepe,adm94,MOZ,Nipepe_,,,,,,,,
Cidade De Pemba-Palma,Cidade De Pemba,Cidade De Pemba,adm95,MOZ,Palma_,Palma,adm95,MOZ,Palma_,,,,,,,,
Cidade De Pemba-Quissanga,Cidade De Pemba,Cidade De Pemba,adm96,MOZ,Quissanga_,Quissanga,adm96,MOZ,Quissanga_,,,,,,,,
Erati-Ancuabe,Erati,Erati,adm97,MOZ,Ancuabe_,Ancuabe,adm97,MOZ,Ancuabe_,,,,,,,,
Erati-Balama,Erati,Erati,adm98,MOZ,Balama_,Balama,adm98,MOZ,Balama_,,,,,,,,
Erati-Chiure,Erati,Erati,adm99,MOZ,Chiure_,Chiure,adm99,MOZ,Chiure_,,,,,,,,
Erati-Cidade De Pemba,Erati,Erati,adm100,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm100,MOZ,Cidade_De_Pemba_,,,,,,,,
Erati-Erati,Erati,Erati,adm101,MOZ,Erati_,Erati,adm101,MOZ,Erati_,,,,,,,,
Erati-Ibo,Erati,Erati,adm102,MOZ,Ibo_,Ibo,adm102,MOZ,Ibo_,,,,,,,,
Erati-Lalaua,Erati,Erati,adm103,MOZ,Lalaua_,Lalaua,adm103,MOZ,Lalaua_,,,,,,,,
Erati-Macomia,Erati,Erati,adm104,MOZ,Macomia_,Macomia,adm104,MOZ,Macomia_,,,,,,,,
Erati-Marrupa,Erati,Erati,adm105,MOZ,Marrupa_,Marrupa,adm105,MOZ,Marrupa_,,,,,,,,
Erati-Mecuburi,Erati,Erati,adm106,MOZ,Mecuburi_,Mecuburi,adm106,MOZ,Mecuburi_,,,,,,,,
Erati-Mecufi,Erati,Erati,adm107,MOZ,Mecufi_,Mecufi,adm107,MOZ,Mecufi_,,,,,,,,
Erati-Mecula,Erati,Erati,adm108,MOZ,Mecula_,Mecula,adm108,MOZ,Mecula_,,,,,,,,
Erati-Meluco,Erati,Erati,adm109,MOZ,Meluco_,Meluco,adm109,MOZ,Meluco_,,,,,,,,
Erati-Memba,Erati,Erati,adm110,MOZ,Memba_,Memba,adm110,MOZ,Memba_,,,,,,,,
Erati-Metuge,Erati,Erati,adm111,MOZ,Metuge_,Metuge,adm111,MOZ,Metuge_,,,,,,,,
Erati-Mocimboa Da Praia,Erati,Erati,adm112,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm112,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Erati-Montepuez,Erati,Erati,adm113,MOZ,Montepuez_,Montepuez,adm113,MOZ,Montepuez_,,,,,,,,
Erati-Mueda,Erati,Erati,adm114,MOZ,Mueda_,Mueda,adm114,MOZ,Mueda_,,,,,,,,
Erati-Muidumbe,Erati,Erati,adm115,MOZ,Muidumbe_,Muidumbe,adm115,MOZ,Muidumbe_,,,,,,,,
Erati-Namuno,Erati,Erati,adm116,MOZ,Namuno_,Namuno,adm116,MOZ,Namuno_,,,,,,,,
Erati-Nangade,Erati,Erati,adm117,MOZ,Nangade_,Nangade,adm117,MOZ,Nangade_,,,,,,,,
Erati-Nipepe,Erati,Erati,adm118,MOZ,Nipepe_,Nipepe,adm118,MOZ,Nipepe_,,,,,,,,
Erati-Palma,Erati,Erati,adm119,MOZ,Palma_,Palma,adm119,MOZ,Palma_,,,,,,,,
Erati-Quissanga,Erati,Erati,adm120,MOZ,Quissanga_,Quissanga,adm120,MOZ,Quissanga_,,,,,,,,
Ibo-Ancuabe,Ibo,Ibo,adm121,MOZ,Ancuabe_,Ancuabe,adm121,MOZ,Ancuabe_,,,,,,,,
Ibo-Balama,Ibo,Ibo,adm122,MOZ,Balama_,Balama,adm122,MOZ,Balama_,,,,,,,,
Ibo-Chiure,Ibo,Ibo,adm123,MOZ,Chiure_,Chiure,adm123,MOZ,Chiure_,,,,,,,,
Ibo-Cidade De Pemba,Ibo,Ibo,adm124,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm124,MOZ,Cidade_De_Pemba_,,,,,,,,
Ibo-Erati,Ibo,Ibo,adm125,MOZ,Erati_,Erati,adm125,MOZ,Erati_,,,,,,,,
Ibo-Ibo,Ibo,Ibo,adm126,MOZ,Ibo_,Ibo,adm126,MOZ,Ibo_,,,,,,,,
Ibo-Lalaua,Ibo,Ibo,adm127,MOZ,Lalaua_,Lalaua,adm127,MOZ,Lalaua_,,,,,,,,
Ibo-Macomia,Ibo,Ibo,adm128,MOZ,Macomia_,Macomia,adm128,MOZ,Macomia_,,,,,,,,
Ibo-Marrupa,Ibo,Ibo,adm129,MOZ,Marrupa_,Marrupa,adm129,MOZ,Marrupa_,,,,,,,,
Ibo-Mecuburi,Ibo,Ibo,adm130,MOZ,Mecuburi_,Mecuburi,adm130,MOZ,Mecuburi_,,,,,,,,
Ibo-Mecufi,Ibo,Ibo,adm131,MOZ,Mecufi_,Mecufi,adm131,MOZ,Mecufi_,,,,,,,,
Ibo-Mecula,Ibo,Ibo,adm132,MOZ,Mecula_,Mecula,adm132,MOZ,Mecula_,,,,,,,,
Ibo-Meluco,Ibo,Ibo,adm133,MOZ,Meluco_,Meluco,adm133,MOZ,Meluco_,,,,,,,,
Ibo-Memba,Ibo,Ibo,adm134,MOZ,Memba_,Memba,adm134,MOZ,Memba_,,,,,,,,
Ibo-Metuge,Ibo,Ibo,adm135,MOZ,Metuge_,Metuge,adm135,MOZ,Metuge_,,,,,,,,
Ibo-Mocimboa Da Praia,Ibo,Ibo,adm136,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm136,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Ibo-Montepuez,Ibo,Ibo,adm137,MOZ,Montepuez_,Montepuez,adm137,MOZ,Montepuez_,,,,,,,,
Ibo-Mueda,Ibo,Ibo,adm138,MOZ,Mueda_,Mueda,adm138,MOZ,Mueda_,,,,,,,,
Ibo-Muidumbe,Ibo,Ibo,adm139,MOZ,Muidumbe_,Muidumbe,adm139,MOZ,Muidumbe_,,,,,,,,
Ibo-Namuno,Ibo,Ibo,adm140,MOZ,Namuno_,Namuno,adm140,MOZ,Namuno_,,,,,,,,
Ibo-Nangade,Ibo,Ibo,adm141,MOZ,Nangade_,Nangade,adm141,MOZ,Nangade_,,,,,,,,
Ibo-Nipepe,Ibo,Ibo,adm142,MOZ,Nipepe_,Nipepe,adm142,MOZ,Nipepe_,,,,,,,,
Ibo-Palma,Ibo,Ibo,adm143,MOZ,Palma_,Palma,adm143,MOZ,Palma_,,,,,,,,
Ibo-Quissanga,Ibo,Ibo,adm144,MOZ,Quissanga_,Quissanga,adm144,MOZ,Quissanga_,,,,,,,,
Lalaua-Ancuabe,Lalaua,Lalaua,adm145,MOZ,Ancuabe_,Ancuabe,adm145,MOZ,Ancuabe_,,,,,,,,
Lalaua-Balama,Lalaua,Lalaua,adm146,MOZ,Balama_,Balama,adm146,MOZ,Balama_,,,,,,,,
